type;temps;posLatLon;posPix;NOcorner;center;nivZoom
zoomstart;{"min":0,"sec":44,"mili":68};null;null;LatLng(55.870327, -4.292307);LatLng(55.867317, -4.286942);16
movestart;{"min":0,"sec":44,"mili":68};null;null;LatLng(55.870327, -4.292307);LatLng(55.867317, -4.286942);null
zoom;{"min":0,"sec":44,"mili":299};null;null;LatLng(55.868136, -4.289228);LatLng(55.866631, -4.286546);17
zoomend;{"min":0,"sec":44,"mili":299};null;null;LatLng(55.868136, -4.289228);LatLng(55.866631, -4.286546);17
moveend;{"min":0,"sec":44,"mili":299};null;null;LatLng(55.868136, -4.289228);LatLng(55.866631, -4.286546);null
zoomstart;{"min":0,"sec":45,"mili":287};null;null;LatLng(55.868136, -4.289228);LatLng(55.866631, -4.286546);17
movestart;{"min":0,"sec":45,"mili":287};null;null;LatLng(55.868136, -4.289228);LatLng(55.866631, -4.286546);null
zoom;{"min":0,"sec":45,"mili":509};null;null;LatLng(55.866989, -4.28749);LatLng(55.866236, -4.286149);18
zoomend;{"min":0,"sec":45,"mili":509};null;null;LatLng(55.866989, -4.28749);LatLng(55.866236, -4.286149);18
moveend;{"min":0,"sec":45,"mili":509};null;null;LatLng(55.866989, -4.28749);LatLng(55.866236, -4.286149);null
